gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE,geometry
01543500,1.63054821091537,0.478316788526037,1.79669094630527,0.482957364176171,2.05031436983567,0.0619121498260637,5.67940787737757,8.45,2.13924050632911,89.8,15.7543859649123,0,163.75,"Sinnemahoning Creek at Sinnemahoning, PA",Ref,NorthEast,1778.258,02,41.317285,-78.10306,PA,yes,yes,71,60,20,217,1,217,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1477929.5222, 2174090.5307)"
01544500,1.63421730305854,0.485865266892819,1.76324322488628,0.485230737581888,1.03998874656978,0.0757965724132169,5.65028994353072,8.45,2.31506849315068,91.15,15.3193277310924,0,160.6,"Kettle Creek at Cross Fork, PA",Ref,NorthEast,355.0644,02,41.475899,-77.825825,PA,yes,yes,69,60,20,219,1,219,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1497171.2271, 2195865.7562)"
01545600,1.51791098110689,0.448479056936079,1.75019160883107,0.514876335595222,1.06958327839606,0.065242014547968,5.0725666311045,6.85,2.63461538461538,84.6,17.4432989690722,0,164.35,"Young Womans Creek near Renovo, PA",Ref,NorthEast,119.9975,02,41.389512,-77.690819,PA,yes,yes,44,44,20,222,1,222,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1510006.8813, 2188509.9509)"
01547700,1.34796520855921,0.429971169656749,1.84077502895272,0.442897107242556,2.38480397517291,0.0387866477187585,4.82678282722328,15.45,2.8348623853211,116.05,14.1524390243902,0,158.65,"Marsh Creek at Blanchard, PA",Ref,EastHghlnds,113.5386,02,41.059509,-77.605826,PA,yes,yes,54,54,20,228,1,228,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1524035.1377, 2153608.922)"
01548500,1.43544359605518,0.455212892499828,1.72819889426657,0.494162982650303,1.10720797436017,0.0848496062808742,5.01241192659239,8.9,2.50704225352113,88.7,16.4259259259259,0,162.2,"Pine Creek at Cedar Run, PA",Ref,NorthEast,1557.047,02,41.521736,-77.44748,PA,yes,yes,91,60,20,232,1,232,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1526950.9439, 2206920.2648)"
01549500,1.51114706186231,0.453494786847218,1.66070246009029,0.471683754996156,1.00829010161093,0.0577200097934377,5.06430346796334,11.4,2.375,94.2,13.0833333333333,0,154.6,"Blockhouse Creek near English Center, PA",Ref,NorthEast,97.4853,02,41.473683,-77.230809,PA,yes,yes,69,60,20,233,1,233,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1545608.0665, 2205148.0563)"
01550000,1.67291947124337,0.496449757656269,1.74260256807022,0.49511430341099,1.56375710036878,0.0918789968064187,5.56678627709478,8.75,1.94444444444444,82.7,14.0169491525424,0,155.6,"Lycoming Creek near Trout Run, PA",Ref,NorthEast,452.6757,02,41.41841,-77.032746,PA,yes,yes,95,60,20,235,1,235,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1562928.807, 2202322.1734)"
01552000,1.71924967115064,0.494463815495184,1.6708611448027,0.51054949836829,1.21432539065678,0.110470524593391,5.45854356814401,6.35,1.71621621621622,67.15,13.2970297029703,0,150.15,"Loyalsock Creek at Loyalsockville, PA",Ref,NorthEast,1129.486,02,41.325078,-76.912464,PA,yes,yes,83,59,20,237,1,237,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1574791.2779, 2194069.3386)"
01552500,1.98256601630074,0.547203753444974,1.60336053021287,0.484827872972471,1.1824889906512,0.108933937549172,6.09223132219441,6.9,1.55056179775281,72.55,10.290780141844,0,149.15,"Muncy Creek near Sonestown, PA",Ref,NorthEast,60.6384,02,41.357024,-76.534671,PA,yes,yes,69,60,20,238,1,238,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1604800.4264, 2203892.1054)"
01557500,1.59941790172491,0.507252635070237,1.76891150738684,0.530439750077974,1.62476427003451,0.120949528270843,5.4957768109032,7.8,1.90243902439024,87.5,13.2575757575758,0,165.2,"Bald Eagle Creek at Tyrone, PA",Ref,EastHghlnds,115.2963,02,40.683673,-78.233624,PA,yes,yes,65,60,20,246,1,246,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1480460.2954, 2102356.0775)"
